Property_ID,Neighborhood,Year_Built,Number_of_Bedrooms,Property_Size,Sold_Year,Number_of_Bathrooms,Property_Type,Price,Address
1,University,1934,4,1303,2013,4,Bungalow,242420,62 Academic Crescent
2,New Development,1925,5,1423,2011,5,Semi-detached,259990,55 Blossom Rise
3,Old Town,1967,3,1395,2016,3,Detached,184500,104 Mill Street
4,City Centre,2005,5,2539,2022,5,Detached,455850,93 George Square
5,University,2011,5,2009,2011,5,Detached,356260,79 Faculty Court
6,Old Town,1983,2,1167,2021,2,Detached,146700,71 Butcher’s Row
7,City Centre,1933,3,1470,2011,3,Semi-detached,265500,94 Merchant Street
8,University,1975,3,1222,2019,3,Semi-detached,167200,7 Graduation Way
9,Old Town,1915,3,1490,2016,3,Semi-detached,194000,14 Castle View
10,University,2022,5,1780,2022,5,Bungalow,306400,75 Scholar’s Walk
11,New Development,1941,4,1508,2021,3,Semi-detached,251040,167 Lavender Park
12,City Centre,1904,3,1269,2019,3,Flat,235350,159 Parliament Street
13,City Centre,1960,6,2152,2022,5,Semi-detached,407800,60 Exchange Place
14,New Development,1943,5,2065,2010,5,Semi-detached,343450,38 Bluebell View
15,City Centre,1934,2,933,2016,1,Bungalow,164950,93 Union Street
16,University,2007,4,1778,2014,4,Detached,326700,173 Varsity Place
17,University,1990,6,2462,2020,6,Detached,410060,161 College Road
18,University,1900,6,2303,2012,6,Detached,320300,31 Freshers Row
19,City Centre,1997,2,1194,2020,2,Semi-detached,209100,134 Victoria Parade
20,University,1942,4,1857,2011,4,Flat,319980,33 Varsity Place
21,New Development,1931,5,2167,2016,5,Terraced,356710,47 Birch Grove
22,City Centre,2007,1,703,2018,1,Semi-detached,120450,118 Grand Arcade
23,City Centre,2002,4,1670,2018,4,Semi-detached,310500,191 George Square
24,University,1962,2,1052,2019,2,Flat,166760,90 Lecture Hall Lane
25,University,1932,6,2204,2019,6,Semi-detached,398560,136 Research Boulevard
26,University,1994,5,1806,2017,4,Flat,322840,47 Graduation Way
27,University,1976,4,1119,2011,4,Bungalow,205470,83 College Road
28,University,2008,1,736,2010,1,Terraced,118040,4 Research Boulevard
29,City Centre,1965,1,752,2017,1,Detached,127800,152 Albert Walk
30,University,1929,3,1126,2011,3,Bungalow,202640,176 Scholar’s Walk
31,City Centre,1909,3,1391,2013,3,Semi-detached,253650,107 Union Street
32,Old Town,1922,2,941,2021,2,Semi-detached,124100,139 School House Lane
33,University,1996,4,1527,2013,4,Bungalow,273780,22 Seminar Terrace
34,Old Town,1938,4,1862,2011,4,Semi-detached,246200,142 Old Forge Lane
35,University,1944,6,1903,2013,6,Bungalow,337390,129 Varsity Place
36,University,2019,6,1902,2019,6,Detached,356280,89 Study Mews
37,City Centre,2022,6,2741,2022,6,Semi-detached,501150,96 Station Road
38,University,1928,3,1278,2019,3,Flat,223920,36 Library Lane
39,University,1929,4,1849,2015,4,Semi-detached,300370,40 Campus Avenue
40,University,1933,4,1280,2013,4,Terraced,226400,110 Exam Square
41,University,1951,1,624,2011,1,Bungalow,108600,73 Exam Square
42,University,2002,3,1163,2014,2,Flat,202820,109 Professor’s Close
43,Old Town,1980,5,1780,2020,5,Semi-detached,253000,185 The Green
44,New Development,1921,3,1090,2022,3,Terraced,186700,89 Juniper Walk
45,New Development,1904,5,1992,2012,5,Detached,333960,137 Horizon Close
46,City Centre,1910,1,722,2012,1,Bungalow,123300,147 College Crescent
47,University,1985,2,910,2013,2,Semi-detached,157400,136 Scholar’s Walk
48,Old Town,1931,4,1436,2020,4,Flat,203600,131 Stable Mews
49,University,1923,1,666,2020,1,Terraced,108240,10 Lab Street
50,University,1910,4,1367,2014,4,Flat,251380,149 Varsity Place
51,Old Town,1910,6,1331,2020,6,Semi-detached,223100,78 Stable Mews
52,City Centre,1916,2,991,2011,2,Bungalow,178650,154 Queen Avenue
53,New Development,1931,2,957,2015,2,Semi-detached,154410,109 Horizon Close
54,University,1982,1,684,2015,1,Flat,117600,168 Chancellor Road
55,City Centre,1926,2,899,2017,2,Terraced,164850,145 Grand Arcade
56,University,1931,5,2103,2011,5,Bungalow,369420,125 Lab Street
57,Old Town,1960,2,1243,2017,2,Flat,154300,165 Market Cross Road
58,New Development,1924,4,1433,2017,3,Flat,241290,147 Magnolia Row
59,University,1963,4,1880,2013,3,Terraced,318200,148 Seminar Terrace
60,New Development,1963,4,1673,2016,4,Bungalow,277490,27 Dahlia Court
61,University,1927,4,1607,2022,4,Terraced,284980,4 Study Mews
62,Old Town,1939,5,1814,2016,5,Detached,256400,65 The Green
63,New Development,2015,3,1288,2015,3,Flat,212440,42 Ivy Boulevard
64,New Development,1990,6,2545,2022,6,Semi-detached,420850,80 Juniper Walk
65,City Centre,1913,1,643,2010,1,Semi-detached,111450,88 Queen Avenue
66,University,1941,4,1545,2017,4,Bungalow,276300,152 Freshers Row
67,University,2020,2,1125,2020,2,Semi-detached,187500,43 Scholar’s Walk
68,University,1938,4,1797,2010,4,Detached,311580,121 Library Lane
69,City Centre,1901,2,888,2012,1,Semi-detached,158200,123 Albert Walk
70,University,1980,6,2145,2015,6,Detached,411750,123 Exam Square
71,New Development,1900,6,2418,2017,6,Terraced,404340,88 Willow Heights
72,University,2008,6,2399,2014,6,Detached,425860,129 Academic Crescent
73,University,1931,2,1098,2014,1,Bungalow,178720,137 Union Street
74,New Development,1982,4,1677,2013,4,Bungalow,278010,110 Lavender Park
75,New Development,1963,6,2366,2013,6,Semi-detached,397580,175 Primrose Avenue
76,New Development,1977,5,1986,2016,5,Semi-detached,333180,177 Chestnut Mews
77,Old Town,1930,2,1158,2015,2,Detached,145800,183 Town Gate
78,University,1957,2,958,2017,2,Bungalow,125800,3 Seminar Terrace
79,New Development,1981,4,1610,2020,4,Terraced,269300,99 Cedar Crescent
80,City Centre,2015,2,899,2015,2,Terraced,164850,14 Parliament Street
81,City Centre,1977,2,879,2020,2,Bungalow,161850,67 Market Lane
82,University,2010,6,2297,2019,6,Bungalow,411580,124 Exam Square
83,Old Town,1913,4,1455,2016,3,Flat,200500,16 Cross Keys Way
84,Old Town,1987,6,2183,2019,5,Flat,303300,104 Pillory Hill
85,New Development,1968,6,2685,2019,6,Bungalow,439050,96 Cedar Crescent
86,New Development,1915,4,1912,2014,4,Flat,308560,146 Maple Drive
87,University,1968,1,811,2015,1,Semi-detached,120430,1 Scholar’s Walk
88,New Development,1953,6,2691,2010,6,Bungalow,439830,157 Lavender Park
89,New Development,1912,5,2501,2012,5,Flat,400130,152 Blossom Rise
90,University,1979,5,2009,2021,5,Semi-detached,376350,152 Dean’s View
91,City Centre,1978,2,910,2017,2,Semi-detached,166500,95 Parliament Street
92,New Development,1930,5,1650,2012,4,Terraced,284500,164 Willow Heights
93,City Centre,1968,2,1140,2010,2,Semi-detached,201000,19 Union Street
94,New Development,1920,1,703,2012,1,Flat,106390,9 Lavender Park
95,New Development,1929,4,1625,2021,4,Detached,271250,181 Ivy Boulevard
96,Old Town,1922,4,1490,2013,3,Bungalow,204000,75 Mill Street
97,City Centre,1937,4,1514,2017,4,Semi-detached,287100,171 Merchant Street
98,City Centre,1928,5,1996,2018,4,Detached,369400,41 Parliament Street
99,Old Town,1976,1,647,2013,1,Flat,79700,141 Butcher’s Row
100,City Centre,1931,5,1964,2022,5,Bungalow,369600,171 College Crescent
101,Old Town,2011,5,2278,2021,5,Flat,302800,54 Butcher’s Row
102,University,1961,1,593,2016,1,Terraced,98020,140 Research Boulevard
103,City Centre,2005,1,623,2010,1,Bungalow,108450,89 Crown Street
104,New Development,1990,1,734,2018,1,Semi-detached,110420,39 Magnolia Row
105,Old Town,1997,1,768,2020,1,Detached,91800,10 Town Gate
106,New Development,1944,4,1502,2021,3,Bungalow,250260,165 Primrose Avenue
107,New Development,1948,3,1000,2013,2,Detached,170000,179 Ivy Boulevard
108,City Centre,1932,3,1515,2018,3,Bungalow,272250,152 High Street
109,Old Town,1903,1,659,2012,1,Bungalow,80900,33 Town Gate
110,University,1917,3,1246,2020,3,Detached,219440,3 Faculty Court
111,New Development,1969,3,1348,2022,3,Semi-detached,220240,80 Birch Grove
112,New Development,1963,1,667,2014,1,Detached,101710,145 Oak Lane
113,University,1927,3,1169,2010,3,Terraced,208660,190 Scholar’s Walk
114,Old Town,2007,5,1686,2020,5,Semi-detached,243600,119 Bell Tower Street
115,City Centre,2020,2,1186,2020,2,Terraced,207900,107 Prince’s Gate
116,New Development,1957,2,1116,2014,2,Bungalow,175080,74 Ivy Boulevard
117,City Centre,1990,1,729,2015,1,Detached,124350,52 George Square
118,Old Town,1989,4,1163,2022,4,Semi-detached,176300,97 Bell Tower Street
119,University,1955,1,729,2017,1,Flat,117060,105 Academic Crescent
120,City Centre,1919,4,1705,2010,4,Detached,315750,169 Prince’s Gate
121,Old Town,1976,2,872,2012,2,Flat,117200,145 The Old Yard
122,City Centre,1991,1,713,2010,1,Semi-detached,121950,77 Queen Avenue
123,City Centre,1933,6,2515,2014,6,Bungalow,467250,105 Exchange Place
124,New Development,2012,5,2042,2017,5,Terraced,340460,194 Primrose Avenue
125,University,1986,3,1198,2013,3,Semi-detached,224700,165 Campus Avenue
126,New Development,1909,4,1603,2022,4,Flat,268390,141 Lavender Park
127,University,2014,6,2419,2020,6,Flat,331900,7 Lecture Hall Lane
128,Old Town,1993,3,1309,2018,3,Flat,175900,61 Abbey Lane
129,New Development,1921,3,1488,2015,3,Semi-detached,238440,183 Rosehip Road
130,University,1904,1,720,2015,1,Flat,115800,193 Dean’s View
131,City Centre,2016,3,1413,2020,3,Semi-detached,256950,85 George Square
132,Old Town,1943,5,2105,2014,5,Semi-detached,285500,84 Town Gate
133,Old Town,2013,6,1880,2022,6,Semi-detached,278000,149 Stable Mews
134,University,1908,3,1307,2019,3,Flat,227980,20 Research Boulevard
135,Old Town,1942,1,683,2014,1,Detached,83300,62 The Green
136,University,1903,5,2161,2020,5,Semi-detached,355930,80 Exam Square
137,University,1941,2,1046,2016,2,Semi-detached,176440,41 Academic Crescent
138,Old Town,1964,6,2144,2017,6,Detached,304400,107 Old Forge Lane
139,University,1997,3,1108,2016,3,Terraced,200120,40 Academic Crescent
140,University,1940,1,620,2010,1,Flat,101800,180 Chancellor Road
141,Old Town,1963,2,1031,2010,2,Bungalow,133100,117 Mill Street
142,Old Town,1954,2,928,2019,2,Terraced,122800,1 The Old Yard
143,Old Town,1989,4,1733,2015,4,Semi-detached,233300,193 Mill Street
144,University,1917,5,1489,2012,5,Flat,283460,188 Freshers Row
145,New Development,1915,3,1539,2022,2,Detached,240070,83 Aspen Gardens
146,New Development,1986,1,733,2021,1,Detached,110290,156 Maple Drive
147,City Centre,1945,4,1620,2018,4,Semi-detached,303000,21 Grand Arcade
148,Old Town,1935,5,2321,2020,4,Semi-detached,302100,131 Cross Keys Way
149,New Development,1989,4,1790,2016,4,Flat,292700,139 Ivy Boulevard
150,City Centre,1965,6,2057,2011,5,Bungalow,393550,110 Victoria Parade
151,City Centre,1943,5,1919,2021,5,Terraced,362850,85 High Street
152,Old Town,2015,5,1409,2015,5,Semi-detached,215900,160 Old Forge Lane
153,City Centre,1904,3,1460,2017,3,Semi-detached,264000,3 Station Road
154,University,1928,5,1826,2022,5,Semi-detached,312380,57 Lecture Hall Lane
155,City Centre,1903,4,1205,2010,4,Bungalow,240750,197 Victoria Parade
156,City Centre,2010,5,1605,2014,5,Semi-detached,315750,43 Exchange Place
157,New Development,1998,3,1431,2019,2,Semi-detached,226030,195 Bluebell View
158,City Centre,1985,3,1542,2010,2,Semi-detached,271300,177 Bridge Street
159,City Centre,1948,6,2206,2021,5,Terraced,415900,4 Cathedral Row
160,University,1971,4,1404,2018,4,Bungalow,256560,139 Lab Street
161,City Centre,2007,2,858,2016,2,Semi-detached,158700,147 Parliament Street
162,City Centre,1984,2,1141,2014,2,Flat,201150,31 Market Lane
163,University,1907,5,2012,2015,5,Flat,356680,36 Seminar Terrace
164,University,2021,6,2101,2021,6,Flat,384140,50 Study Mews
165,University,1951,1,672,2012,1,Flat,109080,131 College Road
166,Old Town,2015,5,2068,2015,5,Flat,281800,10 Cross Keys Way
167,University,1968,6,2393,2016,6,Semi-detached,329300,83 Lab Street
